type,status,dept_id
SINGLE_BED,FREE,1
MULTI_BED,FREE,1
SINGLE_BED,MAINTENANCE,1
MULTI_BED,FREE,1
MULTI_BED,FREE,1
MULTI_BED,OCCUPIED,1
MULTI_BED,FREE,1
MULTI_BED,FREE,1
MULTI_BED,OCCUPIED,1
MULTI_BED,OCCUPIED,1
MULTI_BED,OCCUPIED,2
MULTI_BED,FREE,2
SINGLE_BED,OCCUPIED,2
MULTI_BED,FREE,2
MULTI_BED,FREE,2
SINGLE_BED,OCCUPIED,2
MULTI_BED,OCCUPIED,2
MULTI_BED,FREE,2
MULTI_BED,OCCUPIED,2
MULTI_BED,FREE,2
MULTI_BED,FREE,3
MULTI_BED,FREE,3
MULTI_BED,FREE,3
SINGLE_BED,OCCUPIED,3
SINGLE_BED,OCCUPIED,3
MULTI_BED,FREE,3
MULTI_BED,FREE,3
MULTI_BED,FREE,3
MULTI_BED,FREE,3
SINGLE_BED,OCCUPIED,3
SINGLE_BED,FREE,4
MULTI_BED,FREE,4
MULTI_BED,FREE,4
MULTI_BED,FREE,4
MULTI_BED,OCCUPIED,4
MULTI_BED,FREE,4
MULTI_BED,MAINTENANCE,4
MULTI_BED,MAINTENANCE,4
MULTI_BED,FREE,4
MULTI_BED,FREE,4
ICU,FREE,5
ICU,MAINTENANCE,5
ICU,OCCUPIED,5
ICU,FREE,5
ICU,FREE,5
ICU,OCCUPIED,5
ICU,FREE,5
ICU,MAINTENANCE,5
ICU,MAINTENANCE,5
ICU,FREE,5
MULTI_BED,FREE,6
MULTI_BED,MAINTENANCE,6
MULTI_BED,FREE,6
MULTI_BED,FREE,6
MULTI_BED,MAINTENANCE,6
MULTI_BED,FREE,6
MULTI_BED,OCCUPIED,6
MULTI_BED,OCCUPIED,6
SINGLE_BED,OCCUPIED,6
SINGLE_BED,FREE,6
MULTI_BED,MAINTENANCE,7
MULTI_BED,FREE,7
MULTI_BED,OCCUPIED,7
SINGLE_BED,FREE,7
MULTI_BED,FREE,7
SINGLE_BED,FREE,7
MULTI_BED,FREE,7
MULTI_BED,FREE,7
MULTI_BED,OCCUPIED,7
MULTI_BED,MAINTENANCE,7
MULTI_BED,FREE,8
SINGLE_BED,FREE,8
MULTI_BED,FREE,8
MULTI_BED,MAINTENANCE,8
SINGLE_BED,FREE,8
MULTI_BED,OCCUPIED,8
MULTI_BED,OCCUPIED,8
MULTI_BED,FREE,8
SINGLE_BED,FREE,8
MULTI_BED,OCCUPIED,8
SINGLE_BED,FREE,9
SINGLE_BED,OCCUPIED,9
MULTI_BED,FREE,9
MULTI_BED,MAINTENANCE,9
MULTI_BED,OCCUPIED,9
MULTI_BED,OCCUPIED,9
MULTI_BED,MAINTENANCE,9
MULTI_BED,FREE,9
SINGLE_BED,FREE,9
MULTI_BED,FREE,9
MULTI_BED,FREE,10
MULTI_BED,OCCUPIED,10
SINGLE_BED,FREE,10
MULTI_BED,FREE,10
MULTI_BED,OCCUPIED,10
MULTI_BED,FREE,10
MULTI_BED,FREE,10
MULTI_BED,FREE,10
MULTI_BED,FREE,10
SINGLE_BED,FREE,10
MULTI_BED,FREE,11
MULTI_BED,OCCUPIED,11
SINGLE_BED,FREE,11
MULTI_BED,FREE,11
MULTI_BED,FREE,11
MULTI_BED,OCCUPIED,11
MULTI_BED,OCCUPIED,11
SINGLE_BED,FREE,11
MULTI_BED,FREE,11
MULTI_BED,MAINTENANCE,11
MULTI_BED,FREE,12
MULTI_BED,OCCUPIED,12
SINGLE_BED,FREE,12
MULTI_BED,FREE,12
MULTI_BED,FREE,12
MULTI_BED,MAINTENANCE,12
MULTI_BED,OCCUPIED,12
MULTI_BED,OCCUPIED,12
SINGLE_BED,OCCUPIED,12
MULTI_BED,FREE,12
MULTI_BED,FREE,13
MULTI_BED,FREE,13
MULTI_BED,FREE,13
MULTI_BED,FREE,13
MULTI_BED,FREE,13
MULTI_BED,FREE,13
MULTI_BED,FREE,13
MULTI_BED,FREE,13
MULTI_BED,FREE,13
SINGLE_BED,OCCUPIED,13
MULTI_BED,FREE,14
SINGLE_BED,OCCUPIED,14
SINGLE_BED,FREE,14
MULTI_BED,FREE,14
MULTI_BED,FREE,14
MULTI_BED,OCCUPIED,14
MULTI_BED,MAINTENANCE,14
MULTI_BED,FREE,14
MULTI_BED,FREE,14
MULTI_BED,FREE,14
MULTI_BED,MAINTENANCE,15
SINGLE_BED,FREE,15
MULTI_BED,FREE,15
SINGLE_BED,OCCUPIED,15
MULTI_BED,FREE,15
MULTI_BED,FREE,15
MULTI_BED,FREE,15
SINGLE_BED,FREE,15
SINGLE_BED,FREE,15
MULTI_BED,FREE,15
MULTI_BED,FREE,1
MULTI_BED,FREE,1
MULTI_BED,OCCUPIED,1
SINGLE_BED,FREE,1
MULTI_BED,MAINTENANCE,1
SINGLE_BED,OCCUPIED,1
MULTI_BED,FREE,1
MULTI_BED,FREE,2
MULTI_BED,FREE,2
MULTI_BED,OCCUPIED,2
SINGLE_BED,FREE,2
MULTI_BED,MAINTENANCE,2
SINGLE_BED,OCCUPIED,2
MULTI_BED,FREE,2
MULTI_BED,FREE,3
MULTI_BED,FREE,3
MULTI_BED,OCCUPIED,3
SINGLE_BED,FREE,3
