Dept_Name,description,beds_count,floor,director_id
Καρδιολογικό,Περιγραφή τμήματος Καρδιολογικό,10,1,20000000005
Χειρουργικό,Περιγραφή τμήματος Χειρουργικό,10,1,20000000014
Παθολογικό,Περιγραφή τμήματος Παθολογικό,10,2,20000000016
Παιδιατρικό,Περιγραφή τμήματος Παιδιατρικό,10,4,20000000022
ΜΕΘ,Περιγραφή τμήματος ΜΕΘ,10,2,20000000026
Επειγόντων Περιστατικών,Περιγραφή τμήματος Επειγόντων Περιστατικών,10,1,20000000029
Ορθοπεδικό,Περιγραφή τμήματος Ορθοπεδικό,10,4,20000000005
Νευρολογικό,Περιγραφή τμήματος Νευρολογικό,10,4,20000000014
Ουρολογικό,Περιγραφή τμήματος Ουρολογικό,10,1,20000000016
Γυναικολογικό,Περιγραφή τμήματος Γυναικολογικό,10,4,20000000022
Οφθαλμολογικό,Περιγραφή τμήματος Οφθαλμολογικό,10,0,20000000026
Δερματολογικό,Περιγραφή τμήματος Δερματολογικό,10,0,20000000029
Ακτινολογικό,Περιγραφή τμήματος Ακτινολογικό,10,4,20000000005
Μικροβιολογικό,Περιγραφή τμήματος Μικροβιολογικό,10,0,20000000014
Ψυχιατρικό,Περιγραφή τμήματος Ψυχιατρικό,10,1,20000000016
