product_name,route,country,holder,pv_file_location,pv_email,pv_phone
A,Subcutaneous Use,Germany,Helixor Heilmittel Gmbh,Germany,pharmacovigilance@helixor.de,497428935444
A,Subcutaneous Use,Sweden,Helixor Heilmittel Gmbh,Germany,pharmacovigilance@helixor.de,497428935444
A 313,Cutaneous Use,France,Laboratoires Pharma Developpement,France,vigilance@vigipharm.fr,33 467107252
A 313,Oral Use,France,Laboratoires Pharma Developpement,France,vigilance@vigipharm.fr,33 467107252
A.A.S,Oral Use,Spain,"Laboratorio Stada, S.L.",Germany,dso@stada.de,49 6101 603 214
A.A.S.,Oral Use,Spain,"Laboratorio Stada, S.L.",Germany,dso@stada.de,49 6101 603 214
A.Vogel Hyperiforce,Oral Use,Netherlands,A.Vogel B.V.,Netherlands,registratie@avogel.nl,31 525 68 73 20
A.Vogel Premenstrual Relief Pms,Oral Use,United Kingdom (Northern Ireland),A.Vogel Limited,Netherlands,registratie@avogel.nl,31 525 687200
Aaa Sore Throat,Oromucosal Use,United Kingdom (Northern Ireland),Manx Healthcare Ltd,United Kingdom,manx@medinformation.co.uk,44 (0)1926 482511
Aacidexam,"Intraarticular Use ,Intramuscular Use ,Intravenous Use ,Rectal Use",Luxembourg,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com,353 1 6308410
Aacidexam,"Intraarticular Use ,Intramuscular Use ,Intravenous Use",Belgium,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com,353 1 6308410
Aacidexam,"Intraarticular Use ,Intramuscular Use ,Intravenous Use ,Rectal Use",Belgium,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com,353 1 6308410
Aacifemine,Oral Use,Belgium,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com,353 1 6308410
Aacifemine,Oral Use,Luxembourg,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com,353 1 6308410
Aacifemine,Vaginal Use,Belgium,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com, +353 1 6308410
Aacifemine,Vaginal Use,Belgium,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com,353 1 6308410
Aacifemine,Vaginal Use,Luxembourg,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com,353 1 6308410
Aarane N,Inhalation Use,Germany,Hormosan Pharma Gmbh,Germany,EU-PV@lupin.com,49 69 478730
Aas,Oral Use,Portugal,"Perrigo Portugal, Lda.",Belgium,CSCIGlobalPatientSafety@perrigo.com,32470202130
Abacat,Oral Use,Spain,"Tarbis Farma, S.L.",Netherlands,safety@amaroxpharma.com,34935659776
Abacavir / Lamivudine Auxilia,Oral Use,Lithuania,Auxilia Pharma,Latvia,safety@snovigroup.com,371 25117750
Abacavir / Lamivudine Biogaran,Oral Use,France,Biogaran,France,pharmacovigilance@biogaran.fr,33 1 55 72 41 00
Abacavir + Lamivudina Aurovitas,Oral Use,Portugal,"Generis Farmacêutica, S.A.",Malta,pharmacovigilance.eu@aurobindo.com,356 222 94000
Abacavir + Lamivudina Farmoz,Oral Use,Portugal,"Farmoz - Sociedade Técnico Medicinal, S.A.",Portugal,augusto.filipe@tecnimede.com,351210414119
Abacavir + Lamivudina Mylan,Oral Use,Portugal,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir + Lamivudine Sandoz,Oral Use,Poland,Sandoz Gmbh,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abacavir Accord,Oral Use,Finland,Accord Healthcare B.V.,Poland,agatagesiewicz@lambda-cro.com,48 502 165 770
Abacavir Accord,Oral Use,Netherlands,Accord Healthcare B.V.,Poland,agatagesiewicz@lambda-cro.com,48 502 165 770
Abacavir Arrow,Oral Use,France,Arrow Generiques,Malta,pharmacovigilance.eu@aurobindo.com, 356 22294000
Abacavir Aurobindo,Oral Use,Romania,Aurobindo Pharma (Malta) Limited,Malta,pharmacovigilance.eu@aurobindo.com, 356 22294000
Abacavir E Lamivudina Aurobindo,Oral Use,Italy,Aurobindo Pharma (Italia) S.R.L.,Malta,pharmacovigilance.eu@aurobindo.com,356 22294000
Abacavir E Lamivudina Sun,Oral Use,Italy,Sun Pharma France,Romania,victoria.bodea@sunpharma.com,0040 730199839
Abacavir Farmoz,Oral Use,Portugal,"Farmoz - Sociedade Técnico Medicinal, S.A.",Portugal,augusto.filipe@tecnimede.com,351210414119
Abacavir Generis,Oral Use,Portugal,"Generis Farmacêutica, S.A.",Malta,pharmacovigilance.eu@aurobindo.com,356 222 94000
Abacavir Milpharm,Oral Use,United Kingdom (Northern Ireland),Milpharm Limited,Malta,pharmacovigilance.eu@aurobindo.com,356 222 94000
Abacavir Mylan,Oral Use,Italy,Mylan S.P.A.,Italy,productsafety@viatris.com,39 02 61246439
Abacavir Mylan,Oral Use,Portugal,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
