date,type,dept
2026-05-01,MORNING,1
2026-05-01,AFTERNOON,1
2026-05-01,MORNING,2
2026-05-01,AFTERNOON,2
2026-05-01,MORNING,3
2026-05-01,AFTERNOON,3
2026-05-01,MORNING,4
2026-05-01,MORNING,5
2026-05-01,MORNING,6
2026-05-01,MORNING,7
2026-05-01,MORNING,8
2026-05-02,MORNING,1
2026-05-02,AFTERNOON,1
2026-05-02,MORNING,2
2026-05-02,AFTERNOON,2
2026-05-02,MORNING,3
2026-05-02,AFTERNOON,3
2026-05-02,MORNING,4
2026-05-02,MORNING,5
2026-05-02,MORNING,6
2026-05-02,MORNING,7
2026-05-02,MORNING,8
2026-05-03,MORNING,1
2026-05-03,AFTERNOON,1
2026-05-03,MORNING,2
2026-05-03,AFTERNOON,2
2026-05-03,MORNING,3
2026-05-03,AFTERNOON,3
2026-05-03,MORNING,4
2026-05-03,MORNING,5
2026-05-03,MORNING,6
2026-05-03,MORNING,7
2026-05-03,MORNING,8
2026-05-04,MORNING,1
2026-05-04,AFTERNOON,1
2026-05-04,MORNING,2
2026-05-04,AFTERNOON,2
2026-05-04,MORNING,3
2026-05-04,AFTERNOON,3
2026-05-04,MORNING,4
2026-05-04,MORNING,5
2026-05-04,MORNING,6
2026-05-04,MORNING,7
2026-05-04,MORNING,8
2026-05-05,MORNING,1
2026-05-05,AFTERNOON,1
2026-05-05,MORNING,2
2026-05-05,AFTERNOON,2
2026-05-05,MORNING,3
2026-05-05,AFTERNOON,3
2026-05-05,MORNING,4
2026-05-05,MORNING,5
2026-05-05,MORNING,6
2026-05-05,MORNING,7
2026-05-05,MORNING,8
2026-05-06,MORNING,1
2026-05-06,AFTERNOON,1
2026-05-06,MORNING,2
2026-05-06,AFTERNOON,2
2026-05-06,MORNING,3
2026-05-06,AFTERNOON,3
2026-05-06,MORNING,4
2026-05-06,MORNING,5
2026-05-06,MORNING,6
2026-05-06,MORNING,7
2026-05-06,MORNING,8
2026-05-07,MORNING,1
2026-05-07,MORNING,2
2026-05-07,MORNING,3
2026-05-07,MORNING,4
2026-05-07,MORNING,5
2026-05-07,MORNING,6
2026-05-07,MORNING,7
2026-05-07,MORNING,8
2026-05-08,MORNING,1
2026-05-08,MORNING,2
2026-05-08,MORNING,3
2026-05-08,MORNING,4
2026-05-08,MORNING,5
2026-05-08,MORNING,6
2026-05-08,MORNING,7
2026-05-08,MORNING,8
2026-05-09,MORNING,1
2026-05-09,MORNING,2
2026-05-09,MORNING,3
2026-05-09,MORNING,4
2026-05-09,MORNING,5
2026-05-09,MORNING,6
2026-05-09,MORNING,7
2026-05-09,MORNING,8
2026-05-10,MORNING,1
2026-05-10,MORNING,2
2026-05-10,MORNING,3
2026-05-10,MORNING,4
2026-05-10,MORNING,5
2026-05-10,MORNING,6
2026-05-10,MORNING,7
2026-05-10,MORNING,8
2026-05-11,MORNING,1
2026-05-11,MORNING,2
2026-05-11,MORNING,3
2026-05-11,MORNING,4
2026-05-11,MORNING,5
2026-05-11,MORNING,6
2026-05-11,MORNING,7
2026-05-11,MORNING,8
2026-05-12,MORNING,1
2026-05-12,MORNING,2
2026-05-12,MORNING,3
2026-05-12,MORNING,4
2026-05-12,MORNING,5
2026-05-12,MORNING,6
2026-05-12,MORNING,7
2026-05-12,MORNING,8
2026-05-13,MORNING,1
2026-05-13,MORNING,2
2026-05-13,MORNING,3
2026-05-13,MORNING,4
2026-05-13,MORNING,5
2026-05-13,MORNING,6
2026-05-13,MORNING,7
2026-05-13,MORNING,8
2026-05-14,MORNING,1
2026-05-14,MORNING,2
2026-05-14,MORNING,3
2026-05-14,MORNING,4
2026-05-14,MORNING,5
2026-05-14,MORNING,6
2026-05-14,MORNING,7
2026-05-14,MORNING,8
2026-05-15,MORNING,1
2026-05-15,MORNING,2
2026-05-15,MORNING,3
2026-05-15,MORNING,4
2026-05-15,MORNING,5
2026-05-15,MORNING,6
2026-05-15,MORNING,7
2026-05-15,MORNING,8
2026-05-16,MORNING,1
2026-05-16,MORNING,2
2026-05-16,MORNING,3
2026-05-16,MORNING,4
2026-05-16,MORNING,5
2026-05-16,MORNING,6
2026-05-16,MORNING,7
2026-05-16,MORNING,8
2026-05-17,MORNING,1
2026-05-17,MORNING,2
2026-05-17,MORNING,3
2026-05-17,MORNING,4
2026-05-17,MORNING,5
2026-05-17,MORNING,6
2026-05-17,MORNING,7
2026-05-17,MORNING,8
2026-05-18,MORNING,1
2026-05-18,MORNING,2
2026-05-18,MORNING,3
2026-05-18,MORNING,4
2026-05-18,MORNING,5
2026-05-18,MORNING,6
2026-05-18,MORNING,7
2026-05-18,MORNING,8
2026-05-19,MORNING,1
2026-05-19,MORNING,2
2026-05-19,MORNING,3
2026-05-19,MORNING,4
2026-05-19,MORNING,5
2026-05-19,MORNING,6
2026-05-19,MORNING,7
2026-05-19,MORNING,8
