triage
---
| urgency_level | total_cases | avg_waiting_minutes | hospitalization_percentage | department_name | referrals_to_department | 
| ---: | ---: | ---: | ---: | --- | ---: | 
| 1 | 21 | 675.0000 | 100.00 | ΜΕΘ | 21 | 
| 1 | 5 | 725.0000 | 100.00 | Ορθοπεδικό | 5 | 
| 1 | 5 | 716.0000 | 100.00 | Επειγόντων Περιστατικών | 5 | 
| 1 | 3 | 600.0000 | 100.00 | Μικροβιολογικό | 3 | 
| 1 | 2 | 260.0000 | 100.00 | Δερματολογικό | 2 | 
| 1 | 1 | 1215.0000 | 100.00 | Παιδιατρικό | 1 | 
| 1 | 1 | 1330.0000 | 100.00 | Γυναικολογικό | 1 | 
| 1 | 1 | 555.0000 | 100.00 | Ουρολογικό | 1 | 
| 1 | 1 | 1335.0000 | 100.00 | Οφθαλμολογικό | 1 | 
| 1 | 1 | 995.0000 | 100.00 | Νευρολογικό | 1 | 
| 1 | 1 | 985.0000 | 100.00 | Ψυχιατρικό | 1 | 
| 2 | 19 | 695.7895 | 100.00 | Επειγόντων Περιστατικών | 19 | 
| 2 | 13 | 696.9231 | 100.00 | Ουρολογικό | 13 | 
| 2 | 12 | 653.7500 | 100.00 | Δερματολογικό | 12 | 
| 2 | 11 | 717.2727 | 100.00 | Παιδιατρικό | 11 | 
| 2 | 10 | 927.0000 | 100.00 | ΜΕΘ | 10 | 
| 2 | 10 | 888.5000 | 100.00 | Ακτινολογικό | 10 | 
| 2 | 9 | 561.1111 | 100.00 | Νευρολογικό | 9 | 
| 2 | 9 | 791.6667 | 100.00 | Ψυχιατρικό | 9 | 
| 2 | 8 | 578.1250 | 100.00 | Γυναικολογικό | 8 | 
| 2 | 8 | 693.7500 | 100.00 | Ορθοπεδικό | 8 | 
| 2 | 7 | 665.7143 | 100.00 | Μικροβιολογικό | 7 | 
| 2 | 7 | 575.0000 | 100.00 | Παθολογικό | 7 | 
| 2 | 6 | 645.0000 | 100.00 | Καρδιολογικό | 6 | 
| 2 | 5 | 573.0000 | 100.00 | Χειρουργικό | 5 | 
